Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
11/25/2000, ,-121268,124248,-2980.15,0
11/26/2000, ,-593623,597595,-3972.04,0
11/27/2000, ,-284089,221155,62934.1,0
11/28/2000, ,-236262,242146,-5884.97,0
11/29/2000, ,-480454,486191,-5737.48,0
11/30/2000, ,-311250,273386,37863.8,0
12/1/2000, ,-245513,252950,-7436.74,0
12/2/2000, ,-240061,248238,-8176.38,0
12/3/2000, ,-234309,240785,-6476.46,0
12/4/2000, ,-204047,210483,-6435.13,0
12/5/2000, ,-177464,186176,-8712.74,0
12/6/2000, ,-159026,167118,-8091.9,0
12/7/2000, ,-143213,149256,-6043,0
12/8/2000, ,-72689.1,135159,-6344.37,-56125.4
12/9/2000, ,-117571,124116,-6545.36,0
12/10/2000, ,-108867,115225,-6358.4,0
12/11/2000, ,-101203,108807,-7604.11,0
12/12/2000, ,-97110.7,107141,-10030.6,0
12/13/2000, ,-88277,97075.4,-8798.41,0
12/14/2000,190081, ,92776.9,-5859.29,-276998
12/15/2000, ,-80190.8,88943.7,-8752.93,0
12/16/2000,627848, ,153799,-6777.24,-774870
12/17/2000, ,-11102500,12107930,12581.1,-1018000
12/18/2000, ,-1898310,1543612,957318,-602623
12/19/2000, ,-1136020,1746408,-7764.71,-602623
12/20/2000, ,-987686,1493926,-8368.64,-497871
12/21/2000, ,-1105600,1165101,-7009.18,-52496.6
12/22/2000, ,-891254,897541,-6287.25,0
12/23/2000, ,-695762,701770,-6008.06,0
12/24/2000, ,-551166,556370,-5204.37,0
12/25/2000, ,-341138,347700,-6561.82,0
12/26/2000, ,-243383,247931,-4548,0
12/27/2000, ,-190436,195127,-4690.96,0
12/28/2000, ,-158712,164970,-6257.4,0
12/29/2000, ,-141559,146536,-4976.89,0
12/30/2000, ,-128371,134381,-6009.25,0
12/31/2000, ,-118907,125931,-7024.25,0
1/1/2001, ,-113121,119877,-6756.5,0
1/2/2001, ,-109512,115074,-5562.08,0
1/3/2001, ,-105822,110945,-5123,0
1/4/2001, ,-101055,107236,-6181.01,0
1/5/2001, ,-97193.1,103836,-6642.87,0
1/6/2001, ,-93888.9,100663,-6774.21,0
1/7/2001, ,-89720.2,97668.1,-7947.92,0
1/8/2001, ,-88237.8,96591.9,-8354.13,0
1/9/2001, ,-83859.9,92230.6,-8370.67,0
1/10/2001, ,-82677.5,89775.7,-7098.15,0
1/11/2001, ,-81523.8,87434.6,-5910.79,0
1/12/2001, ,-76713.7,85176.8,-8463.13,0
1/13/2001, ,-75499.8,83031.5,-7531.67,0
1/14/2001, ,-72910.3,80960.2,-8049.89,0
1/15/2001, ,-79326.9,89201.5,-9874.62,0
1/16/2001, ,-70878.9,77687.4,-6808.51,0
1/17/2001, ,-65627,75722.4,-10095.4,0
1/18/2001, ,-64947.1,74001.1,-9053.98,0
1/19/2001, ,-100608,108921,-8313.19,0
1/20/2001, ,-81750.2,73354.7,8395.52,0
1/21/2001, ,-62590.6,70779.8,-8189.2,0
1/22/2001, ,-63043.7,69447.4,-6403.66,0
1/23/2001, ,-61402.2,68099.4,-6697.15,0
1/24/2001, ,-59479.8,66782.6,-7302.8,0
1/25/2001, ,-57213.3,65508,-8294.71,0
1/26/2001, ,-57242,64285.2,-7043.18,0
1/27/2001, ,-56010.3,62939.1,-6928.83,0
1/28/2001, ,-52788.1,61634.4,-8846.25,0
1/29/2001,336294, ,60384.1,-7429.02,-389249
1/30/2001,79407.5, ,294995,-7651.76,-366751
1/31/2001,118411, ,151120,82220.5,-351752
2/1/2001,113966, ,223159,7127.09,-344252
2/2/2001,196153, ,115385,44084.4,-355622
2/3/2001,278922, ,87448.9,-10748.2,-355622
2/4/2001,278251, ,91433.3,-6562.3,-363122
2/5/2001,210631, ,159612,-7121.78,-363122
2/6/2001,179005, ,188019,22225.2,-389249
2/7/2001,171279, ,119111,24106.2,-314496
2/8/2001,257603, ,103296,-9147.56,-351752
2/9/2001, ,-477675,486897,-9222.23,0
2/10/2001, ,-741279,678900,62378.9,0
2/11/2001, ,-287948,215527,72421.5,0
2/12/2001, ,-212442,220062,-7619.31,0
2/13/2001, ,-214599,221700,-7100.97,0
2/14/2001, ,-675515,685789,-10274.2,0
2/15/2001, ,-589315,527880,61434.9,0
2/16/2001, ,-343156,296928,46228.2,0
2/17/2001, ,-252138,263416,-11278.3,0
2/18/2001, ,-215166,223380,-8213.95,0
2/19/2001, ,-186363,193010,-6647.37,0
2/20/2001, ,-573109,581902,-8793.46,0
2/21/2001, ,-319986,262588,57398.5,0
2/22/2001, ,-193370,203979,-10609.7,0
2/23/2001, ,-172703,179464,-6760.97,0
2/24/2001, ,-151682,160681,-8999.42,0
2/25/2001, ,-866538,874846,-8308.04,0
2/26/2001, ,-1266820,1150725,116093,0
2/27/2001, ,-577003,449185,127818,0
2/28/2001, ,-359773,373244,-13470.7,0
3/1/2001, ,-327241,336106,-8865.23,0
3/2/2001, ,-291988,301052,-9064.16,0
3/3/2001, ,-310966,321585,-10618.5,0
3/4/2001, ,-291171,291539,-367.854,0
3/5/2001, ,-197700,210009,-12309.4,0
3/6/2001, ,-160637,171187,-10549.9,0
3/7/2001,380182, ,144039,-11350.7,-512870
3/8/2001,967968, ,124677,-11021,-1081620
3/9/2001, ,-196528,387434,-11159.3,-179747
3/10/2001, ,-111868,181850,113394,-183375
3/11/2001, ,-80547.8,265980,-13184.8,-172247
3/12/2001, ,-16596.1,120352,38492.7,-142249
3/13/2001, ,-1225240,1350607,-13120.1,-112251
3/14/2001, ,-2408950,2314006,184693,-89752.3
3/15/2001, ,-4106270,4008740,191149,-93623
3/16/2001, ,-2615840,5816800,250584,-3451550
3/17/2001, ,-111570,6134890,302042,-6325360
3/18/2001, ,-111570,2332610,116114,-2337150
3/19/2001, ,-111570,1534672,-16996.9,-1406100
3/20/2001, ,-111570,2391150,14406.3,-2293990
3/21/2001, ,-111570,5253660,81255,-5223340
3/22/2001, ,-111570,4203405,171892,-4263730
3/23/2001, ,-111570,2457195,24749.3,-2370370
3/24/2001, ,-111570,1131339,-1948.69,-1017820
3/25/2001, ,-111570,640460,-11370.6,-517519
3/26/2001, ,-111570,470540,-12916.6,-346053
3/27/2001, ,-111570,383954,-11797,-260586
3/28/2001, ,-111570,325619,-11589.3,-202460
3/29/2001, ,-111570,314287,-10523.4,-192193
3/30/2001, ,-111570,1734518,5495.53,-1628440
3/31/2001, ,-111570,1734620,198757,-1821810
4/1/2001, ,-111570,2858843,96647.4,-2843920
4/2/2001, ,-111570,2373980,90053.6,-2352460
4/3/2001, ,-111570,2147973,16007.4,-2052410
4/4/2001, ,-111570,1776494,-7636.46,-1657290
4/5/2001, ,-111570,1362777,-19611.8,-1231590
4/6/2001, ,-111570,1332099,-27184.6,-1193340
4/7/2001, ,-111570,1330692,11796.1,-1230920
4/8/2001, ,-111570,903873,40456,-832759
4/9/2001, ,-111570,1441879,-8561.73,-1321750
4/10/2001, ,-111570,587336,65637.9,-541404
4/11/2001, ,-111570,437304,-36222.9,-289511
4/12/2001, ,-111570,376594,-32652.4,-232371
4/13/2001, ,-111570,294640,-34185.9,-148884
4/14/2001, ,-111570,256789,-35974.6,-109244
4/15/2001, ,-111570,227752,-31794.4,-84387.2
4/16/2001, ,-111570,205957,-34078,-60308.7
4/17/2001, ,-111570,188636,-34500.1,-42566
4/18/2001, ,-111570,176831,-28748.8,-36512.2
4/19/2001,349178, ,165866,-21043.6,-494001
4/20/2001, ,-145264,162101,-16837.4,0
4/21/2001, ,-164810,187929,-23118.6,0
4/22/2001,706041, ,153414,-5961.54,-853494
4/23/2001,334611, ,144190,-48425.6,-430376
4/24/2001,246159, ,138169,-51204.3,-333124
4/25/2001,312167, ,133069,-44617,-400620
4/26/2001,562876, ,128551,-32678.4,-658748
4/27/2001,397303, ,124314,-35115.3,-486501
4/28/2001,734649, ,120373,-39025.9,-815996
4/29/2001,783515, ,116502,-31523.9,-868493
4/30/2001,605604, ,112969,-33697.6,-684876
5/1/2001,550655, ,109691,-42724.8,-617622
5/2/2001,599385, ,106649,-54785.6,-651249
5/3/2001,637559, ,103828,-60140.7,-681247
5/4/2001,548676, ,101202,-62253.9,-587624
5/5/2001,524205, ,98747.2,-61455.8,-561496
5/6/2001,508669, ,96428.6,-43601.2,-561496
5/7/2001,209214, ,94213.4,-37557.3,-265870
5/8/2001,616856, ,92214.2,-38951.7,-670118
5/9/2001,648781, ,90045.2,-42580,-696246
5/10/2001,770438, ,88077.4,-50018.9,-808497
5/11/2001,783575, ,86179.8,-53758.8,-815996
5/12/2001,257756, ,88314.9,-57944,-288127
5/13/2001,214298, ,82631.9,-34930.7,-261999
5/14/2001,702046, ,80914.5,-38088.4,-744872
5/15/2001,823456, ,79250.9,-38084.3,-864622
5/16/2001,791111, ,77638.6,-41624.9,-827124
5/17/2001,872816, ,79600.4,-42797.6,-909619
5/18/2001,480915, ,75702.8,-28748.3,-527869
5/19/2001,796599, ,74191.8,-43666.5,-827124
5/20/2001,450861, ,71768.9,-50885.6,-471744
5/21/2001,402453, ,80052.8,-48259,-434246
5/22/2001, ,-15457.1,943232,-22026.4,-905748
5/23/2001, ,-317871,890385,273480,-845994
5/24/2001,252221, ,530791,62982.3,-845994
5/25/2001,375099, ,548396,-28874.9,-894620
5/26/2001, ,-1798890,1846850,-47960.3,0
5/27/2001, ,-2089250,1933012,156239,0
5/28/2001, ,-1678000,1621284,56720.7,0
5/29/2001, ,-1086000,1076009,9994.9,0
5/30/2001, ,-610002,649112,-39109.8,0
5/31/2001, ,-371358,409085,-37727.2,0
6/1/2001, ,-1193190,1234684,-41494.6,0
6/2/2001, ,-1839660,1655838,183823,0
6/3/2001, ,-1941680,1870149,71527.3,0
6/4/2001, ,-1019700,941814,77884.6,0
6/5/2001, ,-571169,620886,-49717.1,0
6/6/2001, ,-395923,446256,-50333.4,0
6/7/2001, ,-285819,337447,-51628.6,0
6/8/2001, ,-214338,266665,-52326.5,0
6/9/2001, ,-148209,201904,-53695.3,0
6/10/2001, ,-105848,158546,-52698.9,0
6/11/2001, ,-204655,259775,-55120.1,0
6/12/2001,648036, ,160618,3471.64,-812125
6/13/2001,635982, ,136642,-61379.7,-711245
6/14/2001,905454, ,121412,-68620.1,-958245
6/15/2001,754708, ,111410,-72619.8,-793498
6/16/2001, ,-1854580,2367030,-70703.1,-441746
6/17/2001, ,-1991580,1613705,377871,0
6/18/2001,293741, ,961917,40135.1,-1295790
6/19/2001,636008, ,721596,-62011.6,-1295590
6/20/2001,453102, ,909629,-66972.4,-1295760
6/21/2001,696579, ,603772,-4535.28,-1295820
6/22/2001,924822, ,429826,-58832.4,-1295820
6/23/2001, ,-459102,1256429,-63583.6,-733743
6/24/2001, ,-54291.4,644719,139445,-729873
6/25/2001,388567, ,368644,-60964.6,-696246
6/26/2001,552879, ,249853,-61488.8,-741243
6/27/2001,619795, ,189846,-68398,-741243
6/28/2001,750884, ,152758,-69018.2,-834624
6/29/2001,672230, ,137675,-68661.7,-741243
6/30/2001,349404, ,253513,-63919.6,-538998
7/1/2001,16787.9, ,525922,3787.38,-546497
7/2/2001,307802, ,241162,68657.3,-617622
7/3/2001,299986, ,221364,-45976.2,-475373
7/4/2001,183370, ,425645,-51389.9,-557626
7/5/2001,404423, ,281858,9964.97,-696246
7/6/2001,563182, ,238067,-52748.5,-748500
7/7/2001,559340, ,224963,-50559.5,-733743
7/8/2001,382069, ,408534,-42102.9,-748500
7/9/2001,488735, ,239024,28240.8,-756000
7/10/2001,380334, ,498994,-63332.3,-815996
7/11/2001,243877, ,428843,57152.7,-729873
7/12/2001,460124, ,279818,-2570.69,-737372
7/13/2001,397157, ,217613,-45774.6,-568996
7/14/2001,477704, ,181202,-52412.1,-606493
7/15/2001,454735, ,154255,-54993.8,-553997
7/16/2001,487762, ,129526,-55791.8,-561496
7/17/2001,492775, ,161717,-59369.1,-595123
7/18/2001,494837, ,117092,-31804.4,-580124
7/19/2001, ,-29122.3,101148,-60897.4,-11128.3
7/20/2001, ,-31066.1,91475,-60408.9,0
7/21/2001,584911, ,85210.8,-59999.5,-610122
7/22/2001,486926, ,80890.9,-62445.9,-505371
7/23/2001,152461, ,77710.6,-61795.7,-168376
7/24/2001,592995, ,75188.9,-65561,-602623
7/25/2001,375093, ,83606.9,-73079.8,-385620
7/26/2001,490996, ,312946,-47941.9,-756000
7/27/2001,489281, ,104388,91205.8,-684876
7/28/2001,642204, ,107438,-49767.8,-699875
7/29/2001,685559, ,106724,-54910.9,-737372
7/30/2001,290065, ,103194,-56263.6,-336995
7/31/2001,323987, ,98008.9,-55245.4,-366751
8/1/2001,951348, ,91845,-58820.4,-984372
8/2/2001,987989, ,84604.9,-61852.4,-1010740
8/3/2001,722417, ,351226,-62901.3,-1010740
8/4/2001,308031, ,516695,84893.1,-909619
8/5/2001,479270, ,230196,46533.8,-756000
8/6/2001,562754, ,194836,-65214.7,-692375
8/7/2001,505092, ,172819,-67788,-610122
8/8/2001,726387, ,135318,-56837.8,-804868
8/9/2001,793873, ,124984,-69233.9,-849623
8/10/2001,518978, ,165860,-67216.8,-617622
8/11/2001,287796, ,115697,-29242.1,-374250
8/12/2001, ,-14679.4,447993,-59063.4,-374250
8/13/2001,222530, ,228406,61935.2,-512870
8/14/2001, ,-51144.3,218938,-51671.6,-116122
8/15/2001,144193, ,160627,-38950,-265870
8/16/2001,367427, ,136404,-58456.5,-445375
8/17/2001,258834, ,346568,-55275.6,-550126
8/18/2001,132102, ,197027,41492.5,-370621
8/19/2001,57485.1, ,164818,-57555.8,-164748
8/20/2001,178666, ,274806,-56723.9,-396749
8/21/2001,205558, ,180966,-903.84,-385620
8/22/2001,290782, ,136310,-45342.5,-381750
8/23/2001,367112, ,116450,-53185.8,-430376
8/24/2001,373819, ,96268.3,-50839.9,-419247
8/25/2001,294958, ,80233.4,-53196.2,-321996
8/26/2001,310550, ,70324,-51378.7,-329495
8/27/2001,351034, ,68340.2,-52623.9,-366751
8/28/2001, ,-66746.8,116058,-49311.7,0
8/29/2001,366594, ,67248.5,4032.26,-437875
8/30/2001,658711, ,61577,-50169.7,-670118
8/31/2001,515082, ,258543,-51251.9,-722373
9/1/2001,384212, ,103382,55032,-542627
9/2/2001,445894, ,102142,-42665.3,-505371
9/3/2001, ,-59290.6,99365.4,-40074.8,0
9/4/2001,304946, ,357261,-44584.9,-617622
9/5/2001,322624, ,188779,53722.5,-565125
9/6/2001,563366, ,174098,-41217.6,-696246
9/7/2001,651065, ,155206,-42771.3,-763500
9/8/2001,698298, ,120750,-48048.6,-770999
9/9/2001,740118, ,97129.5,-51249.1,-785998
9/10/2001,576097, ,251675,-52902.5,-774870
9/11/2001,554697, ,145327,44848.4,-744872
9/12/2001,691894, ,111299,-39693.6,-763500
9/13/2001,223092, ,564003,-42223.6,-744872
9/14/2001, ,-710586,786138,92824.4,-168376
9/15/2001,226562, ,457611,49570.2,-733743
9/16/2001,395233, ,413917,-34280.7,-774870
9/17/2001,486469, ,353697,-35298.2,-804868
9/18/2001,649636, ,272223,-38608.3,-883250
9/19/2001,687256, ,213893,-40155.3,-860993
9/20/2001, ,-2331510,3260320,-41687.5,-887121
9/21/2001, ,-1340860,1678022,411335,-748500
9/22/2001, ,-151468,949414,-26946.7,-770999
9/23/2001,159540, ,617527,-43323.5,-733743
9/24/2001, ,-2225710,3015630,-41420.3,-748500
9/25/2001, ,-4281360,4667180,381549,-767370
9/26/2001, ,-1684030,2321934,136970,-774870
9/27/2001, ,-714965,1496542,-25577.3,-756000
9/28/2001, ,-1019430,1032020,-12591.8,0
9/29/2001, ,-695923,681523,14400,0
9/30/2001, ,-453937,479710,-25773.1,0
10/1/2001, ,-335812,363916,-28104.2,0
10/2/2001, ,-222355,256553,-30569.2,-3628.8
10/3/2001,514610, ,186138,-34499.9,-666248
10/4/2001,569403, ,153799,-38326.5,-684876
10/5/2001,686411, ,136332,-40373.1,-782369
10/6/2001,822088, ,182670,-39013,-965745
10/7/2001,826963, ,135355,7055.94,-969373
10/8/2001,871994, ,126541,-21661.9,-976873
10/9/2001,879586, ,120870,-19712.5,-980744
10/10/2001,872046, ,115746,-22048,-965745
10/11/2001,903758, ,110915,-30301.4,-984372
10/12/2001,821968, ,106499,-33847.5,-894620
10/13/2001, ,-62786,102484,-36069.2,-3628.8
10/14/2001, ,-156581,195007,-34797.1,-3628.8
10/15/2001, ,-296739,241788,54950.8,0
10/16/2001, ,-252140,237614,14526,0
10/17/2001, ,-227465,221438,6027.29,0
10/18/2001,838601, ,199031,-12133.8,-1025500
10/19/2001,1054222, ,200765,-19743.7,-1235240
10/20/2001, ,-169889,196618,-23100.2,-3628.8
10/21/2001, ,-161670,187840,-26170.2,0
10/22/2001,1102852, ,184339,-29449.5,-1257740
10/23/2001,1019375, ,285102,-20607.2,-1283870
10/24/2001,998387, ,246061,35791.8,-1280240
10/25/2001,1122090, ,186264,-16985.3,-1291370
10/26/2001,1151361, ,163535,-27398.2,-1287500
10/27/2001,1165578, ,148772,-18609.3,-1295740
10/28/2001,1166954, ,137244,-16700.2,-1287500
10/29/2001,3369.2, ,128559,-15806.6,-116122
10/30/2001,714275, ,120255,-18533.9,-815996
10/31/2001,712846, ,109770,-17748.1,-804868
11/1/2001,733646, ,100027,-17676.7,-815996
11/2/2001,684112, ,93680.3,-25421.4,-752371
11/3/2001,770120, ,86635.7,-29631.2,-827124
11/4/2001, ,-70860.4,93847.3,-22986.9,0
11/5/2001, ,-77070.7,84652.6,-7581.92,0
11/6/2001, ,-65742.2,79600.2,-13858,0
11/7/2001, ,-64656.9,76560.9,-11904,0
11/8/2001, ,-56929.2,73539.8,-16610.6,0
11/9/2001, ,-52952.9,71253.2,-18300.3,0
11/10/2001, ,-52919.1,69092.6,-16173.5,0
11/11/2001, ,-51685.8,67255.2,-15569.4,0
11/12/2001, ,-52391.4,65359.4,-12968,0
11/13/2001, ,-51575.4,63544,-11968.6,0
11/14/2001, ,-48236.4,61799.5,-13563.1,0
11/15/2001, ,-42347.1,60075.7,-17728.6,0
11/16/2001, ,-37293.6,58449.1,-21155.5,0
11/17/2001,521067, ,56987.2,-20428.3,-557626
11/18/2001,508902, ,55642.3,-14418.6,-550126
11/19/2001,468602, ,54344.9,-17576.1,-505371
11/20/2001,484553, ,74176.7,-19731.6,-538998
11/21/2001,421713, ,53683.3,3605.39,-479002
11/22/2001,559697, ,52716.2,-9790.05,-602623
11/23/2001,514582, ,51772,-12357.1,-553997
11/24/2001,344200, ,55253.1,-6332.87,-393120
11/25/2001,235984, ,157955,-4689.46,-389249
11/26/2001,285730, ,68761.5,31129.3,-385620
11/27/2001,301965, ,73019.4,-8233.44,-366751
11/28/2001,286145, ,88286.5,-7681.01,-366751
11/29/2001,243176, ,117867,-5421.06,-355622
11/30/2001, ,-224527,587292,357.13,-363122
12/1/2001, ,-352744,302365,59255.8,-8876.42
12/2/2001, ,-318041,326362,-8320.88,0
12/3/2001, ,-295871,302429,-6558.15,0
12/4/2001, ,-240461,278202,-6784.21,-30956.5
12/5/2001, ,-211305,244189,-6417.38,-26467.1
12/6/2001, ,-188078,214005,-9417.03,-16510.1
12/7/2001, ,-164783,187754,-8998.59,-13971.8
12/8/2001, ,-247250,275648,-6328.41,-22069.2
12/9/2001, ,-188714,177159,38151.7,-26597.5
12/10/2001, ,-118229,148492,-8269.4,-21994.4
12/11/2001, ,-133385,141994,-8608.74,0
12/12/2001, ,-123333,130471,-7138.54,0
12/13/2001, ,-225650,230594,-4943.21,0
12/14/2001, ,-1026130,990785,35341.5,0
12/15/2001, ,-425127,601351,164399,-340623
12/16/2001, ,-218052,539711,7836.15,-329495
12/17/2001, ,-605873,966236,-4740.3,-355622
12/18/2001, ,-731573,924687,110012,-303126
12/19/2001, ,-332092,692324,40387.5,-400620
12/20/2001, ,-194892,611669,-8900.21,-407877
12/21/2001, ,-11155.8,483006,-3976.97,-467873
12/22/2001,12648.4, ,354348,-7745.22,-359251
12/23/2001,108826, ,272705,-7280.76,-374250
12/24/2001,62370.5, ,294770,-9017.63,-348123
12/25/2001,164289, ,191292,7540.7,-363122
12/26/2001,203185, ,156773,-8205.5,-351752
12/27/2001,386122, ,134575,-7825.77,-512870
12/28/2001,190541, ,119346,-6761.68,-303126
12/29/2001,449153, ,108671,-7697.83,-550126
12/30/2001,463610, ,100845,-6830.13,-557626
12/31/2001,465122, ,94830.8,-5956.33,-553997
1/1/2002,500900, ,89382.5,-6287.25,-583995
1/2/2002,468366, ,84872.4,-6740.99,-546497
1/3/2002,438568, ,81011.2,-6708.74,-512870
1/4/2002,528683, ,77611.6,-7300.8,-598994
1/5/2002,273336, ,74556.4,-7268.94,-340623
1/6/2002,88772, ,255933,-4081.68,-340623
1/7/2002,234301, ,87547.6,26274.2,-348123
1/8/2002,217916, ,81733.5,-4023.13,-295626
1/9/2002,454756, ,83710.3,-3097.78,-535369
1/10/2002,313792, ,82926.1,-3597.77,-393120
1/11/2002,237109, ,156639,-4498.78,-389249
1/12/2002, ,-63167.8,82570.2,4774.38,-24176.8
1/13/2002, ,-78751,83544,-4793.04,0
1/14/2002, ,-73968.1,78237.1,-4268.96,0
1/15/2002, ,-75911.6,79914.6,-4003.03,0
1/16/2002, ,-67530.1,72703.7,-5173.64,0
1/17/2002, ,-78417.7,82744,-4326.32,0
1/18/2002, ,-66880.8,68314.4,-1433.61,0
1/19/2002,297375, ,65553.8,-3677.62,-359251
1/20/2002,296074, ,63073.5,-3525.34,-355622
1/21/2002,354882, ,60778.2,-3911.96,-411748
1/22/2002,334788, ,58645.6,-4184.46,-389249
1/23/2002,284906, ,56596.5,-4507.63,-336995
1/24/2002,132516, ,221073,-5465.61,-348123
1/25/2002,171980, ,139280,14364.1,-325624
1/26/2002,51487, ,322074,12059.5,-385620
1/27/2002, ,-191211,564151,27679.8,-400620
1/28/2002, ,-476175,823270,34654.4,-381750
1/29/2002, ,-815627,1087487,35136.5,-306996
1/30/2002, ,-1558430,1724465,36212.5,-202245
1/31/2002, ,-370092,920245,48840.6,-598994
2/1/2002, ,-1394730,1780388,26093.1,-411748
2/2/2002, ,-658049,846913,159259,-348123
2/3/2002, ,-328287,682024,-9485.01,-344252
2/4/2002,85126, ,530190,-8822.61,-606493
2/5/2002,281763, ,404420,-8806.84,-677376
2/6/2002,653310, ,307595,-6530.97,-954374
2/7/2002,475196, ,247931,-8253,-714874
2/8/2002,435740, ,232761,-2253.74,-666248
2/9/2002,541485, ,171232,9655.56,-722373
2/10/2002, ,-517770,1251357,-11214.3,-722373
2/11/2002, ,-141421,482542,261502,-602623
2/12/2002,422758, ,341173,10939.1,-774870
2/13/2002,403722, ,324695,-9672.68,-718744
2/14/2002,276716, ,307505,-4097.09,-580124
2/15/2002, ,-238875,617288,-4162.3,-374250
2/16/2002, ,-683162,1034041,12243,-363122
2/17/2002, ,-249757,608833,41543.4,-400620
2/18/2002, ,-11213.9,423312,-11478.6,-400620
2/19/2002, ,-88192.3,363812,-13620,-261999
2/20/2002, ,-759562,1087241,-9554.61,-318125
2/21/2002, ,-1569180,1553162,16018.3,0
2/22/2002, ,-1281410,1296581,-15173.5,0
2/23/2002, ,-702515,718767,-16252,0
2/24/2002, ,-779403,790712,-11308.9,0
2/25/2002, ,-1278540,1292693,-14148.3,0
2/26/2002, ,-1151670,1170484,-18809.9,0
2/27/2002, ,-691625,694204,-2578.71,0
2/28/2002, ,-451681,462502,-10820.8,0
3/1/2002, ,-319301,329193,-9891.73,0
3/2/2002,39616.7, ,293205,-10826.1,-321996
3/3/2002, ,-1273950,1586623,9319.37,-321996
3/4/2002, ,-287101,518301,139422,-370621
3/5/2002, ,-5694.22,403734,-12419.6,-385620
3/6/2002,61770.9, ,330979,-11000,-381750
3/7/2002,72588.8, ,340374,-16214.3,-396749
3/8/2002,48122.7, ,288906,-15032.7,-321996
3/9/2002, ,-188056,739367,-27312.5,-523999
3/10/2002, ,-155400,484498,45151.8,-374250
3/11/2002,69948.9, ,293018,154.812,-363122
3/12/2002,56505.4, ,332556,-10940.1,-378121
3/13/2002, ,-139239,526084,6275.19,-393120
3/14/2002,480.12, ,463131,22889.9,-486501
3/15/2002, ,-65716.2,282559,-10969.3,-205874
3/16/2002, ,-284852,678482,-30508.1,-363122
3/17/2002,58325.3, ,340724,38825.6,-437875
3/18/2002,83322.6, ,316126,-13828.1,-385620
3/19/2002, ,-38944.9,411405,-1838.68,-370621
3/20/2002, ,-299239,671172,9817.21,-381750
3/21/2002, ,-197290,473085,75956.5,-351752
3/22/2002,63103.4, ,330893,28879.9,-422876
3/23/2002,70058.6, ,295811,-10247.3,-355622
3/24/2002, ,-194651,600203,-12432.2,-393120
3/25/2002, ,-85936,437891,44793.8,-396749
3/26/2002, ,-1975170,2480600,3564.83,-509000
3/27/2002, ,-2536770,2632403,282488,-378121
3/28/2002, ,-1542530,1715988,77412.8,-250871
3/29/2002, ,-1297080,1652912,-11574.8,-344252
3/30/2002, ,-1205340,1215488,-10150.8,0
3/31/2002, ,-1126980,1145352,-18371.6,0
4/1/2002, ,-726254,710671,15583,0
4/2/2002, ,-490343,508536,-18192.8,0
4/3/2002, ,-668436,688788,-20352.2,0
4/4/2002, ,-357546,339621,17925.4,0
4/5/2002, ,-238898,259579,-20680.9,0
4/6/2002, ,-199136,214421,-15285.5,0
4/7/2002, ,-171313,186884,-15570.7,0
4/8/2002, ,-157006,171497,-14490.8,0
4/9/2002, ,-250127,268808,-18680.7,0
4/10/2002, ,-192878,185058,7820.13,0
4/11/2002, ,-135477,167532,-32054.8,0
4/12/2002, ,-129171,161637,-32466.1,0
4/13/2002, ,-424170,646877,-31832.6,-190875
4/14/2002, ,-1308910,1388868,103422,-183375
4/15/2002, ,-1000930,897993,102937,0
4/16/2002, ,-358498,554373,-12499.9,-183375
4/17/2002, ,-123178,475932,-53257.3,-299497
4/18/2002,118612, ,355836,-55201.3,-419247
4/19/2002, ,-297913,386976,-59064.4,-29998.1
4/20/2002, ,-332318,381670,-30724.5,-18627.8
4/21/2002, ,-277897,290053,-12155.9,0
4/22/2002, ,-88678.8,272423,-26495.9,-157248
4/23/2002,297175, ,202569,-13242.4,-486501
4/24/2002,531016, ,170755,-28023.9,-673747
4/25/2002,264426, ,754286,-30468.8,-988243
4/26/2002, ,-554715,389284,165431,0
4/27/2002, ,-382280,407124,-24844.1,0
4/28/2002, ,-3005230,3018970,-13736.9,0
4/29/2002, ,-1822110,1483598,338508,0
4/30/2002, ,-1078800,1572280,-18111.5,-475373
5/1/2002, ,-487189,1070652,19159.8,-602623
5/2/2002, ,-1694820,1728993,-34171.5,0
5/3/2002, ,-1130570,1032024,98546.4,0
5/4/2002, ,-647937,677710,-29773.4,0
5/5/2002, ,-441844,479611,-37766.8,0
5/6/2002, ,-277108,320274,-43165.6,0
5/7/2002, ,-188502,235189,-46687.6,0
5/8/2002, ,-143335,197966,-54631.4,0
5/9/2002,123500, ,240604,-42108.6,-321996
5/10/2002,190647, ,172010,464.083,-363122
5/11/2002,258695, ,151189,-43133.2,-366751
5/12/2002,22961.4, ,388774,-37485.2,-374250
5/13/2002, ,-2250900,2314255,67766.6,-131121
5/14/2002, ,-1469400,1168485,300915,0
5/15/2002, ,-978298,979181,-882.672,0
5/16/2002, ,-842263,880530,-38266.9,0
5/17/2002, ,-934528,975486,-40958.4,0
5/18/2002, ,-1787700,2006767,-1005.75,-218057
5/19/2002, ,-111570,1319350,165126,-1372910
5/20/2002, ,-111570,889909,-32003.3,-746335
5/21/2002, ,-111570,546404,-29174.8,-405659
5/22/2002, ,-111570,377285,-23825.6,-241889
