datetime,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delMontague_lag2_same_day,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag1_same_day,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight,delTrenton_lag4_same_day,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag3_same_day,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag2_same_day,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag1_same_day,delMontague_lag1_regression_agg,delMontague_lag2_regression_agg,delTrenton_lag1_regression_agg,delTrenton_lag2_regression_agg,delTrenton_lag3_regression_agg,delTrenton_lag4_regression_agg,delMontague_lag0_moving_average,delMontague_lag1_moving_average,delMontague_lag2_moving_average,delTrenton_lag0_moving_average,delTrenton_lag1_moving_average,delTrenton_lag2_moving_average,delTrenton_lag3_moving_average,delTrenton_lag4_moving_average
11/14/1959,4587.745026,5432.101656,5755.384683,6108.304201,6095.032114,5755.384683,10311.00266,10289.15143,14620.75719,11476.04575,11558.22815,14620.75719,13134.50122,13017.9005,14620.75719,14936.82865,15173.30596,14620.75719,2904.94472,2893.383539,0.001001017,0.001002793,0.001004571,0.001006334,10525.68501,10525.68501,10525.68501,17424.29243,17424.29243,17424.29243,17424.29243,17424.29243
11/15/1959,4190.459234,4825.75564,5202.931978,5447.335515,5432.101656,5202.931978,9058.44934,9756.570904,12650.36418,10004.74049,10289.15143,12650.36418,11316.31118,11558.22815,12650.36418,12591.86523,13017.9005,12650.36418,2531.276038,2521.375462,0.001001017,0.001002793,0.001004571,0.001006334,9623.523496,9623.523496,9623.523496,18011.72802,18011.72802,18011.72802,18011.72802,18011.72802
11/16/1959,3912.86263,4665.216861,4819.765558,4830.128699,4825.75564,4819.765558,8130.574817,9198.070494,11253.4014,8763.452889,9756.570904,11253.4014,10059.94013,10289.15143,11253.4014,11060.49824,11558.22815,11253.4014,2292.319009,2283.466195,0.001001017,0.001002793,0.001004571,0.001006334,8232.244024,8232.244024,8232.244024,17782.52681,17782.52681,17782.52681,17782.52681,17782.52681
11/17/1959,3566.315194,4392.147226,4392.983599,4648.483623,4665.216861,4392.983599,7401.858593,8682.139157,10172.7594,8221.314274,9198.070494,10172.7594,9049.426515,9756.570904,10172.7594,9951.474961,10289.15143,10172.7594,2105.693575,2097.650492,0.001001017,0.001002793,0.001004571,0.001006334,6987.282544,6987.282544,6987.282544,16689.27759,16689.27759,16689.27759,16689.27759,16689.27759
11/18/1959,3673.821081,4424.646913,4530.521969,4404.386738,4392.147226,4530.521969,7023.026739,8577.394177,9629.653707,7467.433322,8682.139157,9629.653707,8624.944742,9198.070494,9629.653707,8874.572143,9756.570904,9629.653707,2136.125426,2127.950848,0.001001017,0.001002793,0.001004571,0.001006334,6060.533957,6060.533957,6060.533957,14769.61159,14769.61159,14769.61159,14769.61159,14769.61159
11/19/1959,3563.778933,4007.37365,4401.294313,4434.47485,4424.646913,4401.294313,6879.264201,8115.041942,9452.532883,7465.771869,8577.394177,9452.532883,8252.937432,8682.139157,9452.532883,8941.731488,9198.070494,9452.532883,2120.473841,2112.366921,0.001001017,0.001002793,0.001004571,0.001006334,5415.154514,5415.154514,5415.154514,13025.65988,13025.65988,13025.65988,13025.65988,13025.65988
11/20/1959,3277.84475,4017.634143,3977.175408,4018.25256,4007.37365,3977.175408,6208.138875,8271.588537,8377.216266,6719.438227,8115.041942,8377.216266,7494.518964,8577.394177,8377.216266,8077.122725,8682.139157,8377.216266,1787.898464,1781.21483,0.001001017,0.001002793,0.001004571,0.001006334,4949.07231,4949.07231,4949.07231,11599.28897,11599.28897,11599.28897,11599.28897,11599.28897
11/21/1959,3305.670988,3885.820211,4042.013446,4031.746096,4017.634143,4042.013446,6101.066166,10043.78948,8284.149661,6573.874591,8271.588537,8284.149661,7386.270144,8115.041942,8284.149661,7650.41951,8577.394177,8284.149661,1883.027819,1875.939986,0.001001017,0.001002793,0.001004571,0.001006334,4631.555156,4631.555156,4631.555156,10521.14716,10521.14716,10521.14716,10521.14716,10521.14716
11/22/1959,3155.387448,3713.872412,3849.83132,3899.512426,3885.820211,3849.83132,6077.925539,8999.272523,8268.945084,6594.609826,10043.78948,8268.945084,7320.039397,8271.588537,8268.945084,7807.622648,8115.041942,8268.945084,1788.258623,1781.573463,0.001001017,0.001002793,0.001004571,0.001006334,4415.373764,4415.373764,4415.373764,9754.298778,9754.298778,9754.298778,9754.298778,9754.298778
11/23/1959,3007.331669,3632.851818,3652.686011,3703.319787,3713.872412,3652.686011,5624.363996,9211.326704,7598.208559,6100.49193,8999.272523,7598.208559,6842.915798,10043.78948,7598.208559,7233.780896,8271.588537,7598.208559,1692.890823,1686.608354,0.001001017,0.001002793,0.001004571,0.001006334,4233.021664,4233.021664,4233.021664,9159.295799,9159.295799,9159.295799,9159.295799,9159.295799
11/24/1959,2806.615282,3732.487958,3373.245764,3592.61544,3632.851818,3373.245764,5819.530215,4486.982773,7795.155667,6425.091092,9211.326704,7795.155667,6990.691146,8999.272523,7795.155667,7400.585352,10043.78948,7795.155667,1551.015573,1545.327173,0.001001017,0.001002793,0.001004571,0.001006334,4065.717162,4065.717162,4065.717162,8768.935354,8768.935354,8768.935354,8768.935354,8768.935354
11/25/1959,3011.371482,3701.100748,3720.802385,3701.285145,3732.487958,3720.802385,7339.732951,4259.115168,10153.724,7872.785595,4486.982773,10153.724,8661.896063,9211.326704,10153.724,8731.825421,8999.272523,10153.724,1708.780791,1702.431408,0.001001017,0.001002793,0.001004571,0.001006334,3923.488783,3923.488783,3923.488783,8788.833439,8788.833439,8788.833439,8788.833439,8788.833439
11/26/1959,3196.81217,3948.821521,3906.166971,3675.964952,3701.100748,3906.166971,6895.739264,11837.15923,9418.055915,7178.758563,4259.115168,9418.055915,8011.33676,4486.982773,9418.055915,8373.09878,9211.326704,9418.055915,1773.307476,1766.685618,0.001001017,0.001002793,0.001004571,0.001006334,3827.214147,3827.214147,3827.214147,8721.940989,8721.940989,8721.940989,8721.940989,8721.940989
