,nhm_id,reachcode,comid,long,lat
372,1458,2.0401E+12,1750601,-74.79967693,41.8729372
373,1645,2.0401E+12,4147956,-74.62946993,41.88119967
374,1455,2.0401E+12,1750471,-74.82953019,41.90171
375,1456,2.0401E+12,1750487,-74.82953019,41.90171
376,1636,2.0401E+12,4147394,-74.57437013,41.91598547
377,1637,2.0401E+12,4147396,-74.57437013,41.91598547
378,1454,2.0401E+12,1750427,-74.92037959,41.9345162
379,1453,2.0401E+12,1750423,-74.92037959,41.9345162
380,1644,2.0401E+12,4147950,-74.50719293,41.93691487
381,1572,2.0401E+12,2617290,-75.27907759,41.9391464
382,1463,2.0401E+12,1752159,-75.27907759,41.9391464
383,1571,2.0401E+12,2617286,-75.28796079,41.94232507
384,1457,2.0401E+12,1750585,-74.99321839,41.9573872
385,1452,2.0401E+12,1750385,-74.86881233,41.96248147
386,1462,2.0401E+12,1752137,-75.18107853,41.96543407
387,1461,2.0401E+12,1752131,-75.16417699,41.979525
388,1635,2.0401E+12,4147366,-74.50060019,41.9860704
389,1643,2.0401E+12,4147948,-74.50060019,41.9860704
390,1451,2.0401E+12,1750361,-74.81091573,41.98826967
391,1460,2.0401E+12,1752113,-75.13183313,41.99076047
392,1459,2.0401E+12,1752109,-75.13183313,41.99076047
393,1642,2.0401E+12,4147946,-74.5024268,41.99275227
394,1634,2.0401E+12,4146586,-74.44246719,42.00010707
395,1565,2.0401E+12,2614210,-75.36191539,42.0040824
396,1450,2.0401E+12,1749281,-75.12789439,42.01935007
397,1564,2.0401E+12,2614146,-75.42258179,42.0576102
398,1563,2.0401E+12,2614144,-75.42258179,42.0576102
399,1558,2.0401E+12,2613826,-75.42351979,42.0582964
400,1562,2.0401E+12,2614136,-75.37814959,42.0683046
401,1444,2.0401E+12,1748727,-74.99116613,42.07545447
402,1449,2.0401E+12,1748773,-74.96755519,42.076986
403,1566,2.0401E+12,2614238,-75.40181979,42.0797564
404,1560,2.0401E+12,2614120,-75.32207459,42.0884924
405,1561,2.0401E+12,2614122,-75.32207459,42.0884924
406,1447,2.0401E+12,1748753,-74.83253113,42.09395627
407,1448,2.0401E+12,1748759,-74.83253113,42.09395627
408,1441,2.0401E+12,1748611,-74.74316353,42.11331507
409,1446,2.0401E+12,1748745,-74.74636679,42.1148904
410,1445,2.0401E+12,1748743,-74.74636679,42.1148904
411,1557,2.0401E+12,2613738,-75.16944159,42.1165442
412,1440,2.0401E+12,1748589,-74.82224759,42.11766367
413,1439,2.0401E+12,1748587,-74.72741073,42.11866047
414,1437,2.0401E+12,1748583,-74.67355133,42.124095
415,1443,2.0401E+12,1748723,-74.69198959,42.12497767
416,1438,2.0401E+12,1748585,-74.69198959,42.12497767
417,1436,2.0401E+12,1748567,-74.61165793,42.14688907
418,1442,2.0401E+12,1748719,-74.62881113,42.1513506
419,1556,2.0401E+12,2613578,-75.14545739,42.15432027
420,1559,2.0401E+12,2614018,-75.28653313,42.15884027
421,1555,2.0401E+12,2613528,-75.12857979,42.16690427
422,1554,2.0401E+12,2613498,-75.12857979,42.16690427
423,1553,2.0401E+12,2613342,-75.05104759,42.2546424
424,1552,2.0401E+12,2613340,-75.05104759,42.2546424
425,1551,2.0401E+12,2612942,-74.77138239,42.257983
426,1550,2.0401E+12,2612932,-74.77138239,42.257983
427,1547,2.0401E+12,2612826,-74.92849693,42.25948047
428,1548,2.0401E+12,2612842,-74.92849693,42.25948047
429,1435,2.0401E+12,1748535,-74.59318919,42.26008567
430,1546,2.0401E+12,2612822,-74.91834279,42.271792
431,1545,2.0401E+12,2612794,-74.67759639,42.3713186
432,1549,2.0401E+12,2612920,-74.67759639,42.3713186
