datetime,delMontague_lag1_regression_disagg,delMontague_lag2_regression_disagg,delTrenton_lag1_regression_disagg,delTrenton_lag2_regression_disagg,delTrenton_lag3_regression_disagg,delTrenton_lag4_regression_disagg
2009-11-22,2743.2651772163417,2373.3676577454785,6785.923911964977,6059.6931613963225,5610.741730805165,5217.556081062648
2009-11-23,2338.9711708340205,2095.748825252011,5747.82974409969,5254.0231350566355,4679.375719291288,4417.7486969977435
2009-11-24,2393.471316080446,2221.901567211762,5756.102600998939,5505.219904319145,4965.931938735686,4774.350788662409
2009-11-25,2438.1991817679927,2249.0651235997802,6513.922191349468,6099.834808515694,5662.895201415937,5445.743872631725
2009-11-26,2402.801428797586,2191.6562361366305,6141.710019212085,5763.02942257541,5364.7144264648105,5125.982364270023
2009-11-27,2357.04566179211,2166.466559593401,5754.279044915564,5480.0728086675745,5038.001553384442,4820.205493493926
2009-11-28,2364.1310668878746,2115.9381179981983,5722.839700191773,5437.857532134365,5010.978684400849,4732.732247146512
2009-11-29,2288.14491321359,2093.941831096996,5622.510083806597,5325.82487264269,4858.734302153698,4635.53528955253
2009-11-30,2280.935955163839,2060.1199693001463,5435.880570885175,5118.749504667408,4722.743808825294,4476.673799281002
2009-12-01,2251.073737283221,2049.595785871224,5287.2977152784515,5039.1719305473325,4628.612234584172,4402.729803152302
2009-12-02,2210.4312500082897,2017.9431791035536,5279.594924437784,5004.736870246434,4590.358350188947,4372.777278078875
2009-12-03,2492.052789220444,1962.6350284651994,4868.317598215393,4916.241668818084,4977.337001961357,4428.407607474544
2009-12-04,2783.4071324173983,2718.6798687115042,4993.626715615359,6735.80432669732,5735.372559540996,5644.752623849921
2009-12-05,3028.3315393151925,3054.1317637831007,11410.26118267435,10048.021064971646,9580.823814770465,9550.516466876674
2009-12-06,3311.2063262906677,3008.0291804741164,10451.564133771551,9832.8293250007,9416.622413674912,9061.772070957113
2009-12-07,3343.00633806391,3063.2288089078093,11003.240545836494,10587.73482263133,9721.96599259811,9380.543639224352
2009-12-08,3512.1653748676963,3128.044254840723,11373.002712191388,10736.321108216904,9869.646996812435,9407.19857806227
2009-12-09,3393.463966597699,3008.4602399041496,11348.573874021029,10454.839389111206,9589.057992849941,9121.42916776924
2009-12-10,3201.705593038987,2713.609965912473,11374.55848536072,10256.343892962974,9574.598778673546,9017.172962542234
2009-12-11,2988.138071932146,2895.155639623367,12128.074352424359,11237.75526698533,10291.955693345215,10114.823758266655
2009-12-12,3437.4620674258867,2995.5739332994267,11644.491244679703,10955.389760930486,10284.028224438829,9758.321299475263
2009-12-13,3204.3922282973663,2856.3018484526706,10759.817454992246,9979.033945418054,9133.746024892473,8709.916813496237
2009-12-14,3186.668398781587,2823.786724709249,10365.432662977662,9586.525867706347,8851.40381428117,8428.160079783154
2009-12-15,3012.4775198968723,2690.0501756363774,11000.350814955334,9953.556734083584,9336.138587474825,8955.460999585885
2009-12-16,2947.6396678059077,2739.7848411982723,10194.764906168723,9484.461854548725,8893.772754565765,8635.337320299583
2009-12-17,3040.6872696067812,2778.624444147069,9956.165798592185,9341.645852484,8737.699230101887,8424.211959783614
2009-12-18,3063.3132794879225,2711.8234409210463,9665.774905932256,9065.23391749102,8446.9517141268,8042.478152159645
2009-12-19,2955.0127017094255,2662.867913839456,8948.97208230659,8361.872212154867,7672.767467231864,7327.3568460545675
2009-12-20,2894.464767886475,2611.1634798995065,8460.935379393066,7835.744124722962,7213.590339583275,6877.4506805327455
2009-12-21,2822.6638260423606,2544.49336965904,8068.829566713782,7505.666460414133,6910.965058240126,6581.585070210876
2009-12-22,2754.8286868326522,2479.948018696943,7723.395565506777,7203.178804804116,6621.840130558146,6296.271108767965
2009-12-23,2692.686364426208,2420.3977129309856,7488.902947935888,6991.466960790271,6424.476583725476,6102.613512283269
2009-12-24,2616.3042691751493,2356.3774293815436,7130.992904834928,6656.872747359699,6104.504547709119,5798.802427464021
2009-12-25,2553.1715752536174,2301.925402787568,6801.166336872017,6357.858567027017,5833.0896076459085,5540.35950163583
